protein1,protein2,weight,accent
ALUYB8,ALUYB8,0,1
ALUSX1,ALUSX1,0,1
THE1A,THE1A,0,1
ALUYB11,ALUYB11,0,1
LTR12C,LTR12C,0,1
MIRC,MIRC,0,1
ALUYB8A1,ALUYB8A1,0,1
ALUYF2,ALUYF2,0,1
ALUYB8,RIG-I,2.093671584,1
ALUSX1,RIG-I,2.093671584,1
THE1A,RIG-I,2.093671584,1
ALUYB11,RIG-I,2.093671584,1
LTR12C,RIG-I,2.093671584,1
MIRC,RIG-I,2.093671584,1
ALUYB8A1,RIG-I,2.093671584,1
ALUYF2,RIG-I,2.093671584,1
ALUYB8,MDA5,2.350519774,1
ALUSX1,MDA5,2.350519774,1
THE1A,MDA5,2.350519774,1
ALUYB11,MDA5,2.350519774,1
LTR12C,MDA5,2.350519774,1
MIRC,MDA5,2.350519774,1
ALUYB8A1,MDA5,2.350519774,1
ALUYF2,MDA5,2.350519774,1
RIG-I,MAVS,0,0
MDA5,MAVS,0,0
MAVS,IRF3,0,0
MAVS,IRF7,0,0
IRF3,IFNL1,3.760695504,1
IRF3,IRF9,3.589201944,0
IRF3,STAT1,0.961359318,1
IRF7,IFNL1,3.760695504,1
IRF7,IRF9,3.589201944,0
IRF7,STAT1,0.961359318,1
IRF9,IFI44L,5.978677204,1
IRF9,VIPERIN/RSAD2,4.733336287,1
IRF9,IFI27,4.473487891,1
IRF9,MX1,4.469179691,1
IRF9,OAS2,4.05444403,1
IRF9,OAS1,3.842922557,1
IRF9,IFIT3,3.838266364,1
IRF9,IFI44L,5.978677204,1
IRF9,IFIT1,3.615490412,1
IRF9,CH25H,3.599588762,1
IRF9,OASL,3.458633838,1
IRF9,IFIT2,3.311623951,1
IRF9,ISG15,2.692012909,1
IRF9,ISG20,1.918331135,1
IRF9,OAS3,1.81706166,1